식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),포화지방산(g),트랜스지방산(g)
라떼_(카페 봄봄)초코라떼,65,10.8,1.46,1.79,1.17,0.05
라떼_(카페 봄봄)카페라떼,18,1.92,1.07,0.63,0.42,0.02
라떼_(카페 봄봄)헤이즐넛 라떼,21,1.72,1.17,1.06,0.69,0.03
라떼_(커피에 반하다)검은콩라떼,79,9.86,0.0,3.38,0.0,0.0
라떼_(커피에 반하다)고구마라떼,79,11.18,0.0,2.65,0.0,0.0
라떼_(커피에 반하다)그린티도피오라떼,93,15.0,0.0,2.65,0.0,0.0
라떼_(커피에 반하다)그린티라떼,85,11.76,0.0,2.94,0.0,0.0
라떼_(커피에 반하다)단호박라떼,67,7.89,0.0,2.82,0.0,0.0
라떼_(커피에 반하다)민트초코라떼,89,30.29,0.0,3.82,0.0,0.0
라떼_(커피에 반하다)밤라떼,87,13.82,0.0,2.65,0.0,0.0
라떼_(커피에 반하다)아이스 검은콩라떼(ICED),74,9.71,0.0,2.94,0.0,0.0
라떼_(커피에 반하다)아이스 고구마라떼(ICED),75,10.88,0.0,2.65,0.0,0.0
라떼_(커피에 반하다)아이스 그린티도피오라떼(ICED),57,9.42,0.0,1.69,0.0,0.0
라떼_(커피에 반하다)아이스 그린티라떼(ICED),76,11.18,0.0,2.65,0.0,0.0
라떼_(커피에 반하다)아이스 단호박라떼(ICED),66,7.94,0.0,2.94,0.0,0.0
라떼_(커피에 반하다)아이스 민트초코라떼(ICED),81,29.71,0.0,3.24,0.0,0.0
라떼_(커피에 반하다)아이스 밤라떼(ICED),84,13.53,0.0,2.35,0.0,0.0
라떼_(커피에 반하다)아이스 아몬드코코넛라떼(ICED),70,7.35,0.0,3.53,0.0,0.0
라떼_(커피에 반하다)아이스 초코라떼(ICED),78,11.18,0.0,2.65,0.0,0.0
라떼_(커피에 반하다)아이스 초코바나나라떼(ICED),68,7.06,0.0,3.24,0.0,0.0
라떼_(커피에 반하다)초코라떼,86,11.76,0.0,2.94,0.0,0.0
라떼_(커피에 반하다)초코바나나라떼,72,7.35,0.0,3.53,0.0,0.0
라떼_(탐앤탐스)군고구마 라떼 tall  아이스(ICED),61,8.42,1.71,2.34,1.5,0.0
라떼_(탐앤탐스)군고구마 라떼 tall  핫(HOT),84,10.41,2.65,3.6,2.29,0.0
라떼_(탐앤탐스)그린민트 초콜릿 grande  아이스(ICED),125,46.76,2.47,6.33,4.37,0.0
라떼_(탐앤탐스)그린민트 초콜릿 grande  핫(HOT),110,42.14,2.58,5.15,3.33,0.0
라떼_(탐앤탐스)그린민트 초콜릿 tall  아이스(ICED),100,30.79,2.02,5.03,3.41,0.0
라떼_(탐앤탐스)그린민트 초콜릿 tall  핫(HOT),117,34.1,2.79,5.82,3.83,0.0
라떼_(탐앤탐스)그린민트 초콜릿 venti  아이스(ICED),97,43.99,1.89,4.55,3.06,0.0
라떼_(탐앤탐스)그린민트 초콜릿 venti  핫(HOT),106,45.11,2.62,4.78,3.01,0.0
라떼_(토프레소)녹차라떼,95,15.09,2.91,2.49,0.0,0.0
라떼_(토프레소)녹차라떼 아이스(ICED),95,15.09,2.91,2.49,0.0,0.0
미숫가루(선식)음료_(커피에 반하다)냉 미숫가루,101,18.14,0.0,2.27,0.0,0.0
밀크티/버블티_(스트릿츄러스)흑당밀크,100,15.85,2.68,2.93,1.71,0.0
밀크티/버블티_(스트릿츄러스)흑당밀크티,103,16.29,2.47,3.09,1.65,0.0
밀크티/버블티_(탐앤탐스)로얄 밀크티 grande  아이스(ICED),95,14.26,1.71,3.53,2.5,0.0
밀크티/버블티_(탐앤탐스)로얄 밀크티 grande  핫(HOT),82,12.5,1.41,2.98,2.13,0.0
밀크티/버블티_(탐앤탐스)로얄 밀크티 tall  아이스(ICED),86,13.35,1.38,3.05,2.19,0.0
밀크티/버블티_(탐앤탐스)로얄 밀크티 tall  핫(HOT),92,14.36,1.49,3.28,2.36,0.0
밀크티/버블티_(탐앤탐스)로얄 밀크티 venti  아이스(ICED),75,11.11,1.39,2.81,1.99,0.0
밀크티/버블티_(탐앤탐스)로얄 밀크티 venti  핫(HOT),73,10.96,1.3,2.7,1.91,0.0
스무디_(스트릿츄러스)밀크쉐이크,89,12.55,2.98,2.98,2.13,0.0
스무디_(스트릿츄러스)초코쉐이크,102,15.9,3.33,2.82,2.05,0.0
스무디_(카페 봄봄)녹차프라페,71,12.3,1.55,1.74,1.45,0.03
스무디_(카페 봄봄)딸기스무디,65,12.2,0.66,1.47,1.2,0.01
스무디_(카페 봄봄)딸기요거트,75,15.8,1.73,0.55,0.36,0.01
스무디_(카페 봄봄)망고스무디,58,12.2,0.75,0.7,0.45,0.02
스무디_(카페 봄봄)망고요거트,72,14.8,1.55,0.7,0.45,0.02
스무디_(카페 봄봄)모카프라페,97,12.1,1.49,4.75,3.9,0.09
스무디_(카페 봄봄)민트프라페,91,11.0,0.97,4.74,4.19,0.08
스무디_(카페 봄봄)쿠키프라페,104,14.3,1.53,4.55,3.43,0.04
스무디_(카페 봄봄)폭탄프라페,110,14.0,1.07,5.53,4.6,0.08
스무디_(카페 봄봄)플레인요거트,62,13.2,2.16,0.7,0.47,0.02
스무디_(커피에 반하다)그린티프라페,82,15.22,0.0,1.69,0.0,0.0
스무디_(커피에 반하다)딸기 요거트 스무디,109,20.88,0.0,1.76,0.0,0.0
스무디_(커피에 반하다)레몬 요거트 스무디,112,21.76,0.0,2.06,0.0,0.0
스무디_(커피에 반하다)리얼 과일스무디 딸기바나나,57,10.39,0.0,1.21,0.0,0.0
스무디_(커피에 반하다)리얼 과일스무디 망고,57,10.39,0.0,1.21,0.0,0.0
스무디_(커피에 반하다)모카 프라페,52,9.18,0.0,0.97,0.0,0.0
스무디_(커피에 반하다)민트초코 프라페,95,30.19,0.0,3.38,0.0,0.0
스무디_(커피에 반하다)블루베리 요거트 스무디,109,21.18,0.0,1.76,0.0,0.0
스무디_(커피에 반하다)요거트 스무디,100,18.24,0.0,2.06,0.0,0.0
스무디_(커피에 반하다)자바칩 프라페,95,14.98,0.0,3.86,0.0,0.0
스무디_(커피에 반하다)카라멜 프라페,51,9.18,0.0,0.97,0.0,0.0
스무디_(커피에 반하다)쿠앤크 프라페,98,13.29,0.0,4.11,0.0,0.0
스무디_(탐앤탐스)그린 티 탐앤치노 grande,89,15.77,1.4,2.27,1.51,0.0
스무디_(탐앤탐스)그린 티 탐앤치노 tall,85,15.1,1.25,2.17,1.47,0.0
스무디_(탐앤탐스)그린 티 탐앤치노 venti,69,12.24,1.14,1.76,1.15,0.0
스무디_(탐앤탐스)딸기 스무디 grande,94,20.81,0.59,0.93,0.5,0.0
스무디_(탐앤탐스)딸기 스무디 tall,90,19.9,0.6,0.93,0.5,0.0
스무디_(탐앤탐스)딸기 스무디 venti,77,17.28,0.44,0.7,0.37,0.0
스무디_(탐앤탐스)망고 스무디 grande,93,20.29,0.59,0.93,0.5,0.0
스무디_(탐앤탐스)망고 스무디 tall,89,19.4,0.6,0.93,0.5,0.0
스무디_(탐앤탐스)망고 스무디 venti,76,16.84,0.44,0.7,0.37,0.0
스무디_(탐앤탐스)바닐라 탐앤치노 grande,81,14.72,1.04,1.76,1.07,0.0
스무디_(탐앤탐스)바닐라 탐앤치노 tall,73,12.85,0.93,1.74,1.1,0.0
스무디_(탐앤탐스)바닐라 탐앤치노 venti,66,12.15,0.84,1.33,0.79,0.0
스무디_(탐앤탐스)자바 칩 탐앤치노 grande,117,19.45,2.0,3.51,2.29,0.0
스무디_(탐앤탐스)자바 칩 탐앤치노 tall,107,17.48,1.76,3.33,2.21,0.0
스무디_(탐앤탐스)자바 칩 탐앤치노 venti,92,15.6,1.63,2.65,1.69,0.0
스무디_(탐앤탐스)플레인 요거트 스무디 grande,85,15.52,2.27,1.57,0.88,0.0
스무디_(탐앤탐스)플레인 요거트 스무디 tall,75,13.75,1.98,1.35,0.76,0.0
스무디_(탐앤탐스)플레인 요거트 스무디 venti,68,12.55,1.78,1.19,0.66,0.0
에이드_(삼삼한밥상(Ⅶ))홍시에이드,42,10.2,0.18,0.02,0.0,0.0
에이드_(스트릿츄러스)레몬에이드,38,9.29,0.2,0.0,0.0,0.0
에이드_(스트릿츄러스)샤인머스켓에이드,54,13.4,0.2,0.0,0.0,0.0
에이드_(스트릿츄러스)자몽에이드,40,9.49,0.4,0.0,0.0,0.0
에이드_(카페 봄봄)라임에이드,42,10.4,0.02,0.05,0.0,0.0
에이드_(카페 봄봄)레몬에이드,40,9.83,0.07,0.08,0.03,0.0
에이드_(카페 봄봄)블루레몬에이드,45,11.1,0.06,0.07,0.02,0.0
에이드_(카페 봄봄)유자레이드,51,12.4,0.25,0.09,0.03,0.0
에이드_(카페 봄봄)자몽에이드,38,8.96,0.35,0.06,0.02,0.0
에이드_(카페 봄봄)청포도에이드,53,12.7,0.01,0.18,0.09,0.0
에이드_(카페 봄봄)체리콕,56,13.9,0.01,0.05,0.0,0.0
에이드_(카페 봄봄)폭탄에이드,44,10.7,0.11,0.06,0.0,0.0
에이드_(커피에 반하다)한라봉에이드,28,6.3,0.0,0.25,0.0,0.0
유자차_(카페 봄봄)유자티,56,13.7,0.13,0.07,0.02,0.0
커피_(스트릿츄러스)아메리카노,8,0.86,0.65,0.17,0.0,0.0
커피_(스트릿츄러스)카라멜마끼아또,83,13.27,2.31,2.31,1.54,0.0
커피_(스트릿츄러스)카페모카,114,18.76,3.3,2.89,1.86,0.0
커피_(카페 봄봄)더치 아메리카노,3,0.51,0.18,0.01,0.0,0.0
커피_(카페 봄봄)아메리카노,2,0.38,0.12,0.05,0.03,0.0
커피_(카페 봄봄)카라멜마끼아또,40,6.03,2.02,0.88,0.58,0.03
커피_(카페 봄봄)카페모카,39,6.37,0.86,1.11,0.87,0.04
커피_(카페 봄봄)카푸치노,23,2.46,1.34,0.86,0.57,0.03
커피_(카페 봄봄)헤이즐넛 아메리카노,2,0.31,0.17,0.01,0.0,0.0
커피_(커피빈)헤이즐넛 아메리카노,467,73.33,4.67,16.67,120.0,0.0
커피_(커피에 반하다)바닐라라떼,54,6.8,0.0,2.02,0.0,0.0
커피_(커피에 반하다)아메리카노,3,0.5,0.0,0.0,0.0,0.0
커피_(커피에 반하다)아이스 바닐라라떼(ICED),43,6.05,0.0,1.51,0.0,0.0
커피_(커피에 반하다)아이스 아메리카노(ICED),3,0.5,0.0,0.0,0.0,0.0
커피_(커피에 반하다)아이스 카라멜 마끼아또(ICED),2,29.22,0.0,8.56,0.0,0.0
커피_(커피에 반하다)아이스 카라멜라떼(ICED),43,4.03,0.0,1.51,0.0,0.0
커피_(커피에 반하다)아이스 카라멜모카(ICED),61,9.82,0.0,1.76,0.0,0.0
커피_(커피에 반하다)아이스 카페라떼(ICED),31,2.52,0.0,1.51,0.0,0.0
커피_(커피에 반하다)아이스 카페모카(ICED),70,4.79,0.0,1.76,0.0,0.0
커피_(커피에 반하다)아이스 카푸치노(ICED),28,2.27,0.0,1.26,0.0,0.0
커피_(커피에 반하다)아이스 콜드브루(ICED),2,0.25,0.0,0.0,0.0,0.0
커피_(커피에 반하다)아이스 콜드브루라떼(ICED),32,2.52,0.0,1.76,0.0,0.0
커피_(커피에 반하다)에스프레소,33,6.67,0.0,0.0,0.0,0.0
커피_(커피에 반하다)카라멜 마끼아또,64,9.32,0.0,2.27,0.0,0.0
커피_(커피에 반하다)카라멜라떼,54,4.79,0.0,2.02,0.0,0.0
커피_(커피에 반하다)카라멜모카,72,10.58,0.0,2.27,0.0,0.0
커피_(커피에 반하다)카페라떼,42,4.41,3.24,2.65,1.47,0.0
커피_(커피에 반하다)카페모카,81,12.34,0.0,2.27,0.0,0.0
커피_(커피에 반하다)카푸치노,40,3.53,0.0,2.02,0.0,0.0
커피_(커피에 반하다)코코프레소,72,9.07,0.0,3.27,0.0,0.0
커피_(커피에 반하다)콜드브루,2,0.25,0.0,0.0,0.0,0.0
커피_(커피에 반하다)콜드브루라떼,39,3.02,0.0,2.27,0.0,0.0
커피_(탐앤탐스)바닐라 라떼 grande  아이스(ICED),55,7.45,1.45,1.88,1.16,0.0
커피_(탐앤탐스)바닐라 라떼 grande  핫(HOT),62,7.61,1.88,2.46,1.52,0.0
커피_(탐앤탐스)바닐라 라떼 tall  아이스(ICED),41,5.55,1.03,1.34,0.82,0.0
커피_(탐앤탐스)바닐라 라떼 tall  핫(HOT),62,7.33,1.92,2.52,1.56,0.0
커피_(탐앤탐스)바닐라 라떼 venti  아이스(ICED),45,6.34,1.12,1.44,0.88,0.0
커피_(탐앤탐스)바닐라 라떼 venti  핫(HOT),63,7.66,1.91,2.5,1.54,0.0
커피_(탐앤탐스)카페라떼 grande  아이스(ICED),38,2.64,1.59,2.11,1.32,0.0
커피_(탐앤탐스)카페라떼 grande  핫(HOT),47,3.33,2.0,2.67,1.67,0.0
커피_(탐앤탐스)카페라떼 tall  아이스(ICED),28,1.89,1.13,1.51,0.94,0.0
커피_(탐앤탐스)카페라떼 tall  핫(HOT),48,3.39,2.03,2.71,1.69,0.0
커피_(탐앤탐스)카페라떼 venti  아이스(ICED),30,2.06,1.24,1.65,1.03,0.0
커피_(탐앤탐스)카페라떼 venti  핫(HOT),48,3.38,2.03,2.71,1.69,0.0
커피_(탐앤탐스)카페모카 grande  아이스(ICED),102,10.91,2.03,5.21,4.03,0.0
커피_(탐앤탐스)카페모카 grande  핫(HOT),93,10.52,2.37,4.39,3.17,0.0
커피_(탐앤탐스)카페모카 tall  아이스(ICED),81,93.09,1.64,4.06,3.12,0.0
커피_(탐앤탐스)카페모카 tall  핫(HOT),114,12.1,3.11,5.76,4.12,0.0
커피_(탐앤탐스)카페모카 venti  아이스(ICED),72,7.5,1.49,3.65,2.8,0.0
커피_(탐앤탐스)카페모카 venti  핫(HOT),76,9.18,1.85,3.32,2.4,0.0
커피_(탐앤탐스)카푸치노 grande  아이스(ICED),33,2.31,1.39,1.85,1.16,0.0
커피_(탐앤탐스)카푸치노 grande  핫(HOT),20,1.37,0.82,1.1,0.69,0.0
커피_(탐앤탐스)카푸치노 tall  아이스(ICED),23,1.51,0.91,1.21,0.76,0.0
커피_(탐앤탐스)카푸치노 tall  핫(HOT),17,1.08,0.65,0.87,0.54,0.0
커피_(탐앤탐스)카푸치노 venti  아이스(ICED),27,1.84,1.1,1.47,0.92,0.0
커피_(탐앤탐스)카푸치노 venti  핫(HOT),20,1.32,0.79,1.06,0.66,0.0
커피_(탐앤탐스)캬라멜 마끼아또 grande  아이스(ICED),60,8.79,1.51,1.93,1.19,0.0
커피_(탐앤탐스)캬라멜 마끼아또 grande  핫(HOT),60,8.11,1.68,2.18,1.35,0.0
커피_(탐앤탐스)캬라멜 마끼아또 tall  아이스(ICED),51,7.27,1.31,1.68,1.04,0.0
커피_(탐앤탐스)캬라멜 마끼아또 tall  핫(HOT),60,7.95,1.72,2.23,1.38,0.0
커피_(탐앤탐스)캬라멜 마끼아또 venti  아이스(ICED),49,7.23,1.15,1.47,0.9,0.0
커피_(탐앤탐스)캬라멜 마끼아또 venti  핫(HOT),61,7.96,1.72,2.23,1.38,0.0
커피_(탐앤탐스)헤이즐넛 라떼 grande  아이스(ICED),55,7.67,1.45,1.88,1.16,0.0
커피_(탐앤탐스)헤이즐넛 라떼 grande  핫(HOT),62,7.81,1.88,2.46,1.52,0.0
커피_(탐앤탐스)헤이즐넛 라떼 tall  아이스(ICED),369,5.72,1.03,1.34,0.82,0.0
커피_(탐앤탐스)헤이즐넛 라떼 tall  핫(HOT),63,7.51,1.92,2.52,1.56,0.0
커피_(탐앤탐스)헤이즐넛 라떼 venti  아이스(ICED),45,6.54,1.12,1.44,0.88,0.0
커피_(탐앤탐스)헤이즐넛 라떼 venti  핫(HOT),63,7.86,1.91,2.5,1.54,0.0
커피_(토프레소)바닐라 라떼,65,8.91,2.39,2.31,0.0,0.0
커피_(토프레소)바닐라 라떼 아이스(ICED),61,8.27,2.22,2.14,0.0,0.0
커피_(토프레소)카라멜 마끼아또,71,10.31,2.39,2.31,0.0,0.0
커피_(토프레소)카라멜 마끼아또 아이스(ICED),66,9.57,2.22,2.14,0.0,0.0
커피_(토프레소)카페모카,75,9.51,2.7,2.91,0.0,0.0
커피_(토프레소)카페모카 아이스(ICED),75,9.51,2.7,2.91,0.0,0.0
커피_(토프레소)헤이즐넛 라떼,66,8.49,2.6,2.39,0.0,0.0
커피_(토프레소)헤이즐넛 라떼 아이스(ICED),61,7.88,2.41,2.22,0.0,0.0
코코아_(스트릿츄러스)아이스초코 아이스(ICED),112,19.66,3.05,2.37,1.69,0.0
코코아_(스트릿츄러스)핫초코 핫(HOT),112,19.66,3.05,2.37,1.69,0.0
코코아_(카페 봄봄)민트크림초코,67,10.5,1.25,2.17,1.71,0.07
코코아_(카페 봄봄)폭탄초코,78,10.7,1.51,3.21,2.5,0.09
떡_(삼삼한밥상(Ⅶ))제주도 빙떡 & 귤간장소스,118,25.0,1.66,1.21,0.0,0.0
곤드레나물밥,149,28.26,2.94,2.71,0.26,0.0
국밥,52,7.33,3.45,1.03,0.34,0.03
국밥_소머리,79,2.2,9.5,3.6,0.0,0.0
국밥_쇠고기,47,6.09,3.11,1.16,0.33,0.01
김밥_김치,138,24.3,4.4,2.6,0.0,0.0
김밥_샐러드,162,24.58,3.85,5.41,1.12,0.02
김밥_쇠고기,160,25.01,6.39,3.85,1.01,0.04
김밥_참치,167,24.5,5.8,5.1,0.0,0.0
누룽지_뜨거운물첨가,69,15.06,1.32,0.1,0.04,0.0
덮밥_돼지고기(제육),156,23.1,6.0,4.4,0.0,0.0
덮밥_불고기,134,20.5,5.7,3.2,0.0,0.0
덮밥_송이,97,15.93,3.04,2.34,0.46,0.02
짜장밥,136,21.5,6.3,2.8,0.0,0.0
덮밥_유산슬,105,13.44,4.9,3.46,0.62,0.02
덮밥_장어,179,24.34,7.52,5.74,1.29,0.06
덮밥_참치,136,20.59,5.84,3.35,0.68,0.02
덮밥_해물,110,14.35,6.01,3.21,0.77,0.03
묵밥,68,13.54,1.56,0.81,0.16,0.0
볶음밥_삼선,172,21.44,6.56,6.62,1.58,0.04
볶음밥_김치,151,24.0,4.6,4.1,0.0,0.0
볶음밥_새우,175,28.2,4.5,4.9,0.0,0.0
볶음밥_오므라이스,162,25.0,4.8,4.8,0.0,0.0
볶음밥_해물,176,22.61,6.28,6.75,1.35,0.04
비빔밥,154,21.93,5.47,4.89,0.87,0.02
비빔밥_약초,128,20.05,2.98,3.98,0.6,0.03
비빕밤_멍게,137,22.68,4.15,3.28,0.6,0.03
삼각김밥_고추장불고기,165,34.11,3.66,1.58,0.45,0.01
삼각김밥_숯불갈비,161,32.55,4.0,1.67,0.53,0.02
삼각김밥_참치마요네즈,172,31.95,3.94,3.2,0.6,0.01
새우튀김롤,202,32.09,4.82,6.06,1.14,0.04
연어롤,170,24.77,6.19,5.13,0.94,0.03
연잎밥,207,47.0,4.0,0.3,0.0,0.0
오곡밥,156,32.93,4.78,0.52,0.17,0.0
자장밥,148,24.01,3.05,4.46,1.71,0.03
잡탕밥,104,13.99,5.88,2.68,0.54,0.02
주먹밥_멸치,208,36.2,6.0,4.4,0.73,0.0
초밥_광어,151,25.85,9.02,1.31,0.35,0.01
초밥_농어,159,31.5,6.97,0.53,0.26,0.01
초밥_모듬,154,25.48,8.47,2.02,0.5,0.01
초밥_문어,157,32.71,5.85,0.3,0.14,0.0
초밥_새우,155,31.37,6.72,0.3,0.22,0.0
초밥_연어,179,28.41,7.55,3.9,0.73,0.02
초밥_유부초밥,165,31.26,4.32,2.51,0.45,0.02
초밥_장어,195,32.27,6.61,4.33,1.16,0.04
충무김밥,146,27.29,5.86,1.49,0.27,0.01
캘리포니아롤,163,29.74,4.11,3.02,0.71,0.02
회덮밥,137,20.66,6.04,3.31,0.58,0.02
소보로빵,396,60.22,9.02,13.25,6.61,0.3
다식_송화,369,73.97,8.3,4.48,0.89,0.01
도넛_찹쌀,296,57.07,5.04,5.26,2.79,0.06
만주,318,66.86,7.33,2.34,1.3,0.06
매작과,413,66.11,7.51,13.15,2.35,0.1
버터크림빵,383,46.23,8.18,18.41,14.06,0.46
산자,366,82.17,2.31,3.09,0.09,0.0
샌드위치_닭고기,250,20.89,16.28,11.19,2.12,0.03
샌드위치_생선,257,26.69,10.29,12.45,1.95,0.08
샌드위치_소고기,244,22.21,15.17,10.3,3.4,0.39
샌드위치_참치,222,14.6,9.32,14.04,2.84,0.12
샌드위치_햄_치즈,218,24.8,7.4,9.9,0.0,0.0
샌드위치_햄_치즈_채소,214,21.55,8.66,10.38,3.1,0.19
약과,399,84.89,4.2,4.75,1.22,0.04
유과,424,74.23,2.81,12.83,1.37,0.04
케이크_초콜릿케이크,420,43.6,5.31,24.96,14.39,0.38
케이크_치즈케이크,329,28.64,7.23,20.63,10.99,0.61
크로켓_채소,301,31.19,7.13,16.38,3.59,0.15
페이스트리,457,46.45,8.56,26.28,17.24,0.84
피자_불고기피자,253,30.6,13.7,8.35,4.65,0.2
피자_치즈피자,277,35.6,15.7,7.9,5.75,0.2
피자_페퍼로니피자,266,35.15,14.7,7.4,5.45,0.2
피자_포테이토피자,251,28.64,11.2,10.2,4.12,0.12
햄버거_소고기패티,271,35.76,11.94,8.94,4.21,0.33
햄버거_소고기패티_토마토_양상추,229,18.01,9.55,13.23,4.46,0.19
간자장,127,20.65,3.44,3.39,1.49,0.04
국수_김치말이국수,50,8.67,2.15,0.8,0.18,0.0
국수_막국수,57,10.98,2.0,0.58,0.1,0.0
국수_열무김치,54,8.7,1.88,1.28,0.08,0.01
기스면,61,8.98,3.78,1.07,0.21,0.0
냉면_열무냉면,66,12.19,2.61,0.72,0.17,0.0
냉면_회냉면,114,22.2,3.2,1.4,0.0,0.0
떡만두국,89,15.82,2.87,1.62,0.49,0.01
라면_국물,19,2.08,0.44,0.96,0.45,0.01
라면_김치,85,13.26,2.12,2.6,1.05,0.02
라면_면,174,29.79,3.89,4.37,2.01,0.04
라면_비빔라면,189,31.01,3.38,5.67,2.51,0.03
라면_용기면,101,16.58,1.89,2.99,1.39,0.02
우동_중식,65,8.54,2.95,2.1,0.34,0.0
라면_용기면_국물,28,3.21,0.61,1.44,0.66,0.01
라면_용기면_면,192,33.42,3.5,4.95,2.31,0.04
라면_용기면_볶음라면,202,33.9,4.52,5.39,2.26,0.03
라면_짜장라면,177,31.0,3.66,4.28,1.69,0.03
라면_짬뽕라면,92,12.27,2.84,3.51,1.15,0.01
라면_치즈,99,13.33,2.8,3.83,1.57,0.03
막국수,109,20.9,3.8,1.1,0.0,0.0
만두_고기만두,208,27.79,9.38,6.58,2.41,0.03
만두_김치만두,187,23.82,8.13,6.59,2.37,0.02
만두국,62,6.83,3.06,2.49,0.61,0.01
비빔국수,113,20.0,3.4,2.1,0.0,0.0
스파게티_오일소스,162,22.35,4.89,5.86,0.97,0.01
스파게티_크림소스,209,18.44,5.45,12.65,6.42,0.25
스파게티_토마토소스,129,18.64,4.87,3.83,1.09,0.04
스파게티_해물_크림소스,184,17.39,6.08,9.96,4.95,0.19
스파게티_해물_토마토소스,117,17.45,5.59,2.75,0.63,0.01
쌀국수,53,9.18,2.6,0.7,0.23,0.02
올갱이국수,38,7.44,0.75,0.55,0.1,0.0
우동_김치,63,12.39,1.94,0.58,0.1,0.0
우동_삼선,69,10.59,4.79,0.85,0.2,0.0
우동_일식,60,10.6,1.91,1.13,0.21,0.0
울면,73,12.82,3.75,0.74,0.18,0.0
자장면,123,20.56,3.04,3.13,1.31,0.03
자장면_삼선,115,18.08,4.81,2.59,0.58,0.01
짬뽕_굴,76,12.85,3.65,1.07,0.16,0.0
짬뽕_삼선,74,11.3,4.4,1.2,0.21,0.0
칼국수_닭고기,74,10.52,4.69,1.42,0.28,0.0
칼국수_들깨,76,9.97,2.93,2.75,0.25,0.0
칼국수_해물,70,13.77,2.53,0.51,0.14,0.0
깨죽,64,9.91,1.71,1.99,0.35,0.0
미음,19,4.7,0.3,0.0,0.0,0.0
미음_칠분도미,20,4.6,0.3,0.1,0.03,0.0
미음_현미,19,4.4,0.4,0.1,0.02,0.0
백합죽,65,12.1,2.36,0.8,0.19,0.0
쇠고기버섯죽,72,13.63,2.34,0.93,0.34,0.02
스프_쇠고기,7,0.04,1.14,0.22,0.11,0.0
스프_쇠고기_채소,48,6.16,3.18,1.16,0.41,0.0
스프_양송이,39,3.33,0.66,2.59,0.47,0.0
스프_양파,12,2.77,0.32,0.01,0.0,0.0
스프_콘소메,11,0.32,2.52,0.0,0.0,0.0
스프_크림,30,4.7,0.72,0.97,0.5,0.0
어죽,69,12.6,2.55,0.94,0.21,0.0
율무죽,44,9.5,0.5,0.4,0.0,0.0
잣죽,125,22.18,2.74,2.8,0.28,0.03
참깨죽,38,5.9,1.0,1.2,0.0,0.0
참치죽,82,13.07,3.02,2.01,0.23,0.01
현미죽,64,15.2,1.2,0.4,0.09,0.0
게살죽,71,13.42,2.24,0.89,0.26,0.01
흰죽(쌀죽),53,11.45,0.99,0.15,0.05,0.0
흰죽(쌀죽)_삼광,53,11.51,0.89,0.1,0.04,0.0
흰죽(쌀죽)_새일미,55,11.72,1.09,0.17,0.05,0.0
흰죽(쌀죽)_신동진,53,11.42,0.96,0.15,0.06,0.0
흰죽(쌀죽)_오대,52,11.16,1.02,0.18,0.06,0.0
흰죽(쌀죽)_칠분도미,68,15.6,1.1,0.2,0.05,0.0
감자국,32,4.94,1.19,0.79,0.03,0.0
게국지,38,2.88,4.08,1.1,0.18,0.02
곰치국,42,2.39,5.43,1.18,0.14,0.01
곰탕,61,6.03,6.47,1.23,0.5,0.03
김치국,20,2.33,1.2,0.62,0.07,0.0
꼬리곰탕,110,0.7,14.6,5.4,0.0,0.0
낙지탕,31,1.73,4.9,0.53,0.07,0.0
된장국_무,23,3.27,1.36,0.53,0.07,0.0
된장국_시래기,22,2.44,1.49,0.69,0.07,0.0
된장국_우렁,49,3.84,4.92,1.54,0.22,0.0
매생이국,24,2.68,2.0,0.56,0.12,0.02
매운탕_광어,70,1.52,9.74,2.77,0.51,0.01
매운탕_대구,60,2.81,9.56,1.2,0.16,0.01
매운탕_조기,64,2.88,5.85,3.23,0.8,0.02
매운탕_짱뚱어,31,2.77,1.92,1.42,0.15,0.0
무국_쇠고기,31,1.95,3.55,1.0,0.33,0.03
묵말이_도토리묵,36,6.9,0.52,0.65,0.09,0.0
미소된장국,25,1.87,1.87,1.2,0.13,0.0
미역국_쇠고기,23,1.18,2.78,0.82,0.31,0.02
미역국_홍합,26,1.78,3.03,0.72,0.14,0.0
선짓국,42,1.4,6.4,1.2,0.0,0.0
소탕,58,1.27,5.1,3.57,0.39,0.01
순대국,68,2.16,5.44,4.13,1.37,0.02
아구탕,41,2.13,6.3,0.82,0.13,0.0
어탕,57,1.21,8.47,2.06,0.29,0.01
연포탕,54,2.02,9.49,0.9,0.18,0.01
올갱이국,24,2.17,2.28,0.7,0.13,0.0
육개장_쇠고기,49,3.0,3.1,2.7,0.0,0.0
육탕,58,0.23,8.44,2.64,1.14,0.12
전복탕,33,2.63,4.47,0.5,0.1,0.0
조개국_바지락,29,1.84,4.0,0.56,0.11,0.0
지리탕_대구,44,1.65,6.93,1.03,0.18,0.02
지리탕_복,39,1.72,6.95,0.45,0.07,0.0
초당순두부,58,1.76,5.46,3.24,0.42,0.0
탕국,37,0.1,5.27,1.71,0.4,0.03
해물탕,45,2.77,6.63,0.78,0.13,0.0
해장국_뼈다귀,71,2.34,7.46,3.57,1.43,0.01
해장국_선지,31,1.67,4.93,0.54,0.27,0.01
해장국_우거지,26,2.25,1.98,0.98,0.2,0.0
해장국_콩나물,32,1.7,3.4,1.3,0.0,0.0
황태해장국,30,0.95,4.08,1.13,0.18,0.0
